Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,,B6620HBG,2346,422 113,culturachivilcoy@hotmail.com,,-348.913.660,-600.227.530,Localización precisa,,DNPyM,Municipal,1962,2017
6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de julio 0177,,B6620FKC,2346,422 185,,,-349.003.770,-600.188.830,Localización precisa,,DNPyM,Municipal,1943,2017
6224010,6,6224,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de julio 0177,,B6620FKC,2346,422 185,,,-348.952.420,-600.227.720,Localización precisa,,DNPyM,Municipal,1973,2017
6840010,6,6840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,,B1702BDV,11,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,-346.311.000,-585.433.000,Localización precisa,,DNPyM,Nacional,1993,2017
6833020,6,6833,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,,7505,2982,480 213,museoclaromeco@gimeil.com,,-388.582.680,-600.744.910,Localización precisa,,DNPyM,Provincial,2007,2017
6119050,6,6119,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,,B1980EIT,2223,344 5628,,,-351.703.890,-582.382.460,Localización precisa,,DNPyM,Privada,2002,2017
6189030,6,6189,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,,B8150CSK,2921,409 228,,,-387.176.140,-612.880.430,Localización precisa,,DNPyM,Municipal,1969,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,,B7530DJI,2922,462 680,,,-379.844.080,-613.488.390,Localización precisa,,DNPyM,Municipal,,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,,7530,2922,406 2680,,,-379.841.220,-613.567.870,Localización precisa,,DNPyM,Municipal,,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,,B7530ALE,2922,463 688,,,-379.835.590,-613.485.440,Localización precisa,,DNPyM,Mixta: Privada/Municipal,1909,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,,B7530DJI,2922,462 680,,,-379.887.990,-613.540.540,Localización precisa,,DNPyM,Municipal,1909,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,,7530,2922,462 459,,,-379.887.990,-613.540.540,Localización precisa,,DNPyM,Privada,1971,2017
6196010,6,6196,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,,B7530DBV,2922,466 166 INT 32,,,-379.831.310,-613.580.560,Localización precisa,,DNPyM,Municipal,1986,2017
6238010,6,6238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,,B7100BIH,2245,442 730,,,-363.186.650,-576.752.170,Localización precisa,,DNPyM,Provincial,1940,2017
6238010,6,6238,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,,B7100ADJ,2245,446 276,,,-363.186.420,-576.728.500,Localización precisa,,DNPyM,Provincial,1991,2017
6392040,6,6392,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,,B6241AIJ,3388,493 535,bargero@servicoopsa.com.ar,,-347.821.910,-631.960.460,Localización precisa,,DNPyM,Municipal,1984,2017
6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,,B1925BNS,221,460 2370,,,-348.503.960,-579.204.200,Localización precisa,,DNPyM,Privada,,2017
6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,,1925,221,469 1642,,,-348.215.000,-579.661.000,Localización precisa,,DNPyM,Municipal,1965,2017
6245010,6,6245,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,,1927,221,4317 2396,,,-348.416.500,-578.933.650,Localización precisa,,DNPyM,Nacional,1979,2017
6274010,6,6274,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",,1888,2229,497 314,,,-348.020.800,-582.644.980,Localización precisa,,DNPyM,Provincial,,2017
6861010,6,6861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,,1602,11,4760 9138,,,-345.330.000,-584.909.000,Localización precisa,,DNPyM,Privada,1975,2017
6861010,6,6861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,,B1602AYD,11,4796 9556,,,-345.268.680,-584.916.320,Localización precisa,,DNPyM,Privada,2001,2017
6301010,6,6301,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,,B7223GUO,,,,,-357.691.210,-584.934.130,Localización precisa,,DNPyM,Municipal,2001,2017
6322010,6,6322,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,,B7406AMK,,,,,-372.526.950,-612.595.620,Localización precisa,,DNPyM,Municipal,1987,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,,1900,221,424 1596 INT 374,,,-349.095.350,-579.289.530,Localización precisa,,DNPyM,Nacional,,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,,B1900TQU,221,417 6795,,,-349.262.570,-579.616.840,Localización precisa,,DNPyM,Municipal,,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,,B1904AAO,221,423 6663 INT 424,,,-349.111.400,-579.307.490,Localización precisa,,DNPyM,Nacional,,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,,1909,221,450 1214,,,-350.010.530,-579.022.840,Localización precisa,,DNPyM,Nacional,,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,,B1904ASJ,221,427 5631,,,-349.246.000,-579.331.000,Localización precisa,,DNPyM,Municipal,1909,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,,B1900AVK,221,421 8619,,,-349.137.730,-579.476.920,Localización precisa,,DNPyM,Provincial,1926,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",,1900,221,484 2526,,,-348.989.000,-580.002.000,Localización precisa,,DNPyM,Privada,1966,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,,B1900ADX,221,424 0401,museo azzarini@hotmail.com,,-349.113.000,-579.537.000,Localización precisa,,DNPyM,Nacional,1989,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,,B1902CHQ,221,424 4684,,,-349.111.000,-579.433.000,Localización precisa,,DNPyM,Privada,1990,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,,B1900TIY,221,424 8457,,,-349.151.200,-579.561.690,Localización precisa,,DNPyM,Municipal,1995,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,,B1900ASW,221,427 1843,,,-349.201.840,-579.411.660,Localización precisa,,DNPyM,Municipal,2003,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,,B1900TDT,221,422 2510,,,-349.130.270,-579.452.490,Localización precisa,,DNPyM,Privada,2004,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,,B1902CGC,221,427 6660,,,-348.965.970,-579.604.060,Localización precisa,,DNPyM,Privada,2010,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,,1900,221,423 4910,,,-349.106.000,-579.416.000,Localización precisa,,DNPyM,Nacional,1888,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,,B1900ASW,221,423 5033,museomumart@yahoo.com.ar,,-349.143.000,-579.493.000,Localización precisa,,DNPyM,Municipal,1905,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,,B1900ATK,,,,,-349.212.000,-579.566.000,Localización precisa,,DNPyM,Municipal,1952,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,,B1900DVL,221,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-349.222.000,-579.557.000,Localización precisa,,DNPyM,Provincial,1977,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,,B1900AKQ,221,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-349.216.000,-579.616.000,Localización precisa,,DNPyM,Privada,1980,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,,B1902BBU,221,429 3892,,,-349.014.630,-579.640.680,Localización precisa,,DNPyM,Provincial,1994,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",,1900,221,424 6062,,,-349.079.130,-579.428.860,Localización precisa,,DNPyM,Nacional,1998,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,,B1904CTG,221,424 2698,,,-349.323.140,-579.447.320,Localización precisa,,DNPyM,Privada,1999,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,,1900,221,423 6777,,,-349.083.290,-579.430.540,Localización precisa,,DNPyM,Nacional,2001,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",,B1904BTD,221,427 6304,,,-349.223.390,-579.417.900,Localización precisa,,DNPyM,Nacional,2004,2017
6441030,6,6441,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,,B1900BDO,221,423 1876,,,-349.120.750,-579.420.170,Localización precisa,,DNPyM,Provincial,2007,2017
6357120,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",,B7601XAD,223,463 1394,,,-379.564.430,-577.716.280,Localización precisa,,DNPyM,Municipal,1964,2017
6469080,6,6469,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,,B6070ACP,2355,421 262,,,-348.714.000,-615.291.410,Localización precisa,,DNPyM,Privada,,2017
6476030,6,6476,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,,B7635BWC,2261,442 227,,,-381.675.050,-587.846.470,Localización precisa,,DNPyM,Privada,1960,2017
6483040,6,6483,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,,B7240AAJ,2227,422 843,,,-351.903.490,-590.971.690,Localización precisa,,DNPyM,,,2017
6497060,6,6497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",,B6700ANU,2323,420 245,,,-345.730.230,-591.095.530,Localización precisa,,DNPyM,Provincial,1927,2017
6497060,6,6497,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de julio 0863,,B6700CDM,2323,420 755,,,-345.637.000,-591.205.000,Localización precisa,,DNPyM,Municipal,1963,2017
6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,,B7602GAK,223,492 0569,gestion@cultura.mardelplata.cultura.com.ar,,-380.199.000,-575.528.000,Localización precisa,,DNPyM,Municipal,,2017
6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,,B7600FXE,223,486 1636,,,-380.105.980,-575.359.270,Localización precisa,,DNPyM,Municipal,1949,2017
6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,,B7600HJB,223,473 8791,,,-379.556.660,-576.174.660,Localización precisa,,DNPyM,Municipal,1939,2017
6357110,6,6357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,,B7602CQV,223,495 1200,,,-380.208.000,-575.528.000,Localización precisa,,DNPyM,Municipal,1969,2017
6525020,6,6525,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,,B1727BAG,220,477 1110,,,-347.843.000,-588.326.000,Localización precisa,,DNPyM,Privada,1948,2017
6756010,6,6756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,,B1640ITF,11,4798 1835,,,-344.987.000,-585.006.000,Localización precisa,,DNPyM,Privada,1971,2017
6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,,X5143BQG,3563,493 621,,,-309.135.100,-626.755.070,Localización precisa,,DNPyM,Privada,,2017
6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,,X5143BQG,,,,,-309.049.700,-626.683.710,Localización precisa,,DNPyM,Privada,,2017
6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",,7607,,,,,-382.883.780,-578.497.940,Localización precisa,,DNPyM,Municipal,1977,2017
6280040,6,6280,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,,X5143BQD,3563,493078,,,-309.143.020,-626.766.020,Localización precisa,,DNPyM,Privada,2000,2017
6260010,6,6260,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",,1842,11,4290 0437,,,-348.130.000,-584.584.000,Localización precisa,,DNPyM,Municipal,1984,2017
6553020,6,6553,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",,B8153CMC,2921,482 601,,,-389.819.450,-612.999.130,Localización precisa,,DNPyM,Municipal,1977,2017
6568010,6,6568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,,B1708IFG,11,4629 0969,mensajes@catedraldemoron.org.ar,,-346.521.000,-586.212.000,Localización precisa,,DNPyM,,,2017
6568010,6,6568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,,B1708IPA,11,4629 1456,arteycultura@moron.gov.ar,,-346.492.000,-586.241.000,Localización precisa,,DNPyM,Municipal,1955,2017
6568010,6,6568,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,,B1708FEU,11,4697 9780,museonacionalaeronautica@yahoo.com.ar,,-346.761.000,-586.380.000,Localización precisa,,DNPyM,Nacional,1962,2017
6861010,6,6861,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Munro,Museo Del Cine Lumiton,Sargento Cabral 2354,,B1605EEH,11,4721 9255,,,-345.280.000,-585.158.680,Localización precisa,,DNPyM,Municipal,1905,2017
